latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-6.359,-47.184,309.1,1.1,1,2015-01-01, 0445,A,64,5.0,292,14.3
-6.569,-51.104,314.8,1.1,1.1,2015-01-01, 0445,A,86,5.0,292.4,20.9
-6.571,-51.095,322.7,1.1,1.1,2015-01-01, 0445,A,100,5.0,292.7,31.9
-6.364,-47.178,313,1,1,2015-01-01, 0145,T,81,5.0,292.8,16
-6.365,-47.188,320,1,1,2015-01-01, 0145,T,99,5.0,293.1,24.1
-6.356,-47.189,307.1,1,1,2015-01-01, 0145,T,51,5.0,292.2,10.6
-7.308,-55.31,314.5,2.5,1.5,2015-01-01, 0145,T,85,5.0,289.6,64.7
-5.474,-47.831,306.9,1,1,2015-01-01, 0145,T,50,5.0,292.3,9.4
-3.647,-50.956,305.3,1.1,1,2015-01-01, 0145,T,28,5.0,291.6,9.1
-4.073,-54.627,308.9,1.9,1.4,2015-01-01, 0145,T,64,5.0,290.3,28.9
-3.377,-50.934,305.4,1.1,1,2015-01-01, 0145,T,30,5.0,291.7,7.8
-3.368,-50.935,305.1,1.1,1,2015-01-01, 0145,T,16,5.0,291.5,7.5
-3.163,-52.598,306.9,1.3,1.1,2015-01-01, 0145,T,50,5.0,290.9,14.1
-3.165,-52.591,309.3,1.3,1.1,2015-01-01, 0145,T,65,5.0,290.9,17.3
-2.162,-53.589,308.2,1.5,1.2,2015-01-01, 0145,T,59,5.0,291.1,15.7
-2.056,-53.188,306.8,1.4,1.2,2015-01-01, 0145,T,49,5.0,291,12.1
-1.712,-53.229,315.9,1.4,1.2,2015-01-01, 0145,T,89,5.0,291.2,27.6
-1.714,-53.242,312.2,1.4,1.2,2015-01-01, 0145,T,78,5.0,291.2,21.6
-1.672,-53.096,312,1.4,1.2,2015-01-01, 0145,T,66,5.0,290.7,20.4
-1.676,-53.102,308.3,1.4,1.2,2015-01-01, 0145,T,57,5.0,291.1,15.4
-1.407,-52.437,308.6,1.2,1.1,2015-01-01, 0145,T,62,5.0,287.6,15.6
-1.337,-54.971,320.8,1,1,2015-01-01, 1410,T,51,5.0,297.3,13.4
-1.677,-53.099,331.3,1.2,1.1,2015-01-01, 1410,T,68,5.0,297.5,36
-1.565,-54.055,321.2,1.1,1,2015-01-01, 1410,T,49,5.0,303,13
-2.6,-47.065,311.7,3.4,1.7,2015-01-01, 1410,T,36,5.0,288.7,54.1
-2.595,-47.069,312.1,3.4,1.7,2015-01-01, 1410,T,40,5.0,289.8,62.3
-1.73,-53.365,320.9,1.1,1.1,2015-01-01, 1410,T,32,5.0,297.1,13.7
-1.66,-53.909,316.2,1.1,1,2015-01-01, 1410,T,34,5.0,300,10.5
-1.792,-53.503,323,1.1,1.1,2015-01-01, 1410,T,53,5.0,296.5,16.1
-1.812,-53.567,326.4,1.1,1.1,2015-01-01, 1410,T,80,5.0,299.2,20.4
-1.813,-53.557,323.2,1.1,1.1,2015-01-01, 1410,T,41,5.0,299.7,15.4
-1.892,-53.882,329.6,1.1,1,2015-01-01, 1410,T,0,5.0,299.8,27.6
-1.883,-54.008,319.7,1.1,1,2015-01-01, 1410,T,69,5.0,301.8,13.5
-2.051,-54.315,316.5,1.1,1,2015-01-01, 1410,T,58,5.0,298.3,8.9
-2.183,-54.412,331.6,1,1,2015-01-01, 1410,T,84,5.0,299.8,26.1
-2.185,-54.403,322.3,1,1,2015-01-01, 1410,T,63,5.0,298.1,13.2
-2.895,-52.389,311.8,1.3,1.1,2015-01-01, 1410,T,25,5.0,295.1,12.1
-2.68,-54.98,317.7,1,1,2015-01-01, 1410,T,52,5.0,293.7,13.2
-3.339,-54.629,327.4,1,1,2015-01-01, 1410,T,81,5.0,294.7,28.9
-3.341,-54.619,314.7,1.1,1,2015-01-01, 1410,T,62,5.0,295,12.2
-7.715,-46.422,312.7,4.6,2,2015-01-01, 1410,T,41,5.0,291.2,72.3
-7.715,-46.427,312.6,4.6,2,2015-01-01, 1410,T,50,5.0,291.2,70.1
-7.379,-55.652,315.6,1,1,2015-01-01, 1410,T,54,5.0,297.7,12.3
-7.05,-59.444,313.8,1.2,1.1,2015-01-01, 1410,T,59,5.0,297,11.2
-9.108,-47.579,314.4,3.9,1.8,2015-01-01, 1410,T,61,5.0,295.1,63.4
-9.316,-55.873,317.2,1.1,1,2015-01-01, 1410,T,46,5.0,300.1,13.7
-9.705,-54.681,314.3,1.2,1.1,2015-01-01, 1410,T,46,5.0,298.4,14.3
3.954,-71.749,312.8,2.4,1.5,2015-01-01, 1845,A,0,5.0,290,26.8
4.837,-70.811,315.8,2.9,1.6,2015-01-01, 1845,A,65,5.0,295.8,49.5
4.834,-70.837,316.9,2.9,1.6,2015-01-01, 1845,A,67,5.0,295.7,53.7
4.562,-68.62,311,4.6,2,2015-01-01, 1545,T,46,5.0,293.7,69.6
4.562,-68.627,312.9,4.6,2,2015-01-01, 1545,T,56,5.0,293.7,86.2
4.659,-69.454,311.4,3.9,1.8,2015-01-01, 1545,T,48,5.0,294,50.9
4.543,-69.555,311.1,3.9,1.8,2015-01-01, 1545,T,46,5.0,294.2,45
4.798,-71.968,317.1,2.5,1.5,2015-01-01, 1545,T,67,5.0,296.9,44.1
4.795,-71.946,313.1,2.5,1.5,2015-01-01, 1545,T,57,5.0,294.7,27.9
4.238,-70.826,311.9,3.1,1.7,2015-01-01, 1545,T,51,5.0,296.3,31.6
-8.629,-45.925,323.8,1.8,1.3,2015-01-01, 1705,A,49,5.0,304.5,37.4
-9.193,-51.787,326.5,1,1,2015-01-01, 1705,A,69,5.0,308.7,17.7
-7.543,-50.546,319.8,1,1,2015-01-01, 1705,A,57,5.0,301.3,15.9
-7.574,-55.166,340.1,1.4,1.2,2015-01-01, 1705,A,90,5.0,296.5,75
-7.576,-55.179,319.4,1.4,1.2,2015-01-01, 1705,A,71,5.0,296.2,24.4
-7.564,-55.167,328.5,1.4,1.2,2015-01-01, 1705,A,81,5.0,297.2,43.8
-7.565,-55.18,315.3,1.4,1.2,2015-01-01, 1705,A,38,5.0,296.9,16.4
-6.573,-51.097,318,1,1,2015-01-01, 1705,A,50,5.0,299.2,12.4
-6.463,-52.771,320.7,1,1,2015-01-01, 1705,A,73,5.0,299.8,15.4
-3.856,-51.088,314.5,1,1,2015-01-01, 1705,A,58,5.0,294.4,11.9
-4.233,-55.256,317.8,1.3,1.1,2015-01-01, 1705,A,68,5.0,294.5,23.3
-3.692,-51.988,322.2,1,1,2015-01-01, 1705,A,75,5.0,299.8,18.2
-3.978,-54.599,319.4,1.2,1.1,2015-01-01, 1705,A,59,5.0,293.3,16
-2.593,-47.079,325.5,1.8,1.3,2015-01-01, 1705,A,61,5.0,298.5,40.6
-2.265,-45.466,320.5,2.5,1.5,2015-01-01, 1705,A,73,5.0,295.9,44.8
-2.506,-47.116,320.8,1.8,1.3,2015-01-01, 1705,A,73,5.0,298.1,24.9
-2.508,-47.132,325,1.8,1.3,2015-01-01, 1705,A,78,5.0,298.7,38
-2.641,-48.164,317,1.5,1.2,2015-01-01, 1705,A,41,5.0,297.3,15.9
-3.051,-51.694,325.2,1,1,2015-01-01, 1705,A,74,5.0,301.6,16.1
-3.188,-53.743,312.7,1.1,1,2015-01-01, 1705,A,39,5.0,293.6,8.4
-2.855,-51.485,316.1,1,1,2015-01-01, 1705,A,43,5.0,299.9,12.5
-2.859,-52.597,321.1,1,1,2015-01-01, 1705,A,0,5.0,290.8,15.5
-2.719,-52.974,318.4,1,1,2015-01-01, 1705,A,31,5.0,301,11.6
-2.964,-54.679,325.2,1.1,1.1,2015-01-01, 1705,A,75,5.0,297.7,18.8
-2.979,-54.92,316.6,1.2,1.1,2015-01-01, 1705,A,52,5.0,295.6,13.1
-2.836,-54.248,315.1,1.1,1,2015-01-01, 1705,A,44,5.0,295.5,9.1
-2.682,-54.905,329.3,1.2,1.1,2015-01-01, 1705,A,72,5.0,302.8,23.9
