latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-6.573,-51.098,325,1,1,2014-12-30, 0200,T,100,5.0,293.3,29.5
-6.575,-51.107,328.5,1,1,2014-12-30, 0200,T,100,5.0,293,34.4
-6.219,-55.622,308,1.5,1.2,2014-12-30, 0200,T,58,5.0,291.7,17.2
-3.645,-50.958,305.1,1,1,2014-12-30, 0200,T,15,5.0,291.9,7.6
-3.161,-52.587,334.5,1,1,2014-12-30, 0200,T,100,5.0,291.6,44.1
-2.991,-52.752,306.5,1,1,2014-12-30, 0200,T,46,5.0,290.8,9.3
-2.807,-52.946,306.9,1,1,2014-12-30, 0200,T,50,5.0,291.2,10.3
-2.811,-52.973,311.7,1,1,2014-12-30, 0200,T,76,5.0,291.6,14.6
-1.805,-52.303,307.5,1,1,2014-12-30, 0200,T,54,5.0,291.8,9.9
-2.124,-54.795,305.2,1.1,1.1,2014-12-30, 0200,T,24,5.0,293.1,8.3
-1.763,-52.334,314.1,1,1,2014-12-30, 0200,T,84,5.0,291.2,16.5
-1.814,-53.598,306,1,1,2014-12-30, 0200,T,40,5.0,294,6.8
-1.634,-52.655,313.3,1,1,2014-12-30, 0200,T,82,5.0,292.1,14.9
-1.635,-52.664,312.5,1,1,2014-12-30, 0200,T,79,5.0,292.5,13.9
-1.632,-53.805,305.4,1,1,2014-12-30, 0200,T,29,5.0,293.7,7
-1.633,-53.815,307.4,1,1,2014-12-30, 0200,T,54,5.0,293.9,9
-1.608,-53.89,307.2,1,1,2014-12-30, 0200,T,52,5.0,294.3,8.1
-1.609,-53.9,307,1,1,2014-12-30, 0200,T,51,5.0,294.3,7.8
-1.34,-52.273,307,1,1,2014-12-30, 0200,T,51,5.0,291.1,9.5
-1.342,-52.282,310.4,1,1,2014-12-30, 0200,T,70,5.0,291.1,12.8
-0.818,-48.991,306.1,1.4,1.2,2014-12-30, 0200,T,34,5.0,284,16.1
-0.82,-49.003,323.4,1.4,1.2,2014-12-30, 0200,T,100,5.0,288,45.8
-1.297,-52.422,305,1,1,2014-12-30, 0200,T,14,5.0,292.2,6.8
-1.288,-52.424,312.8,1,1,2014-12-30, 0200,T,80,5.0,292.1,13.7
-1.489,-55.335,307.6,1.2,1.1,2014-12-30, 0200,T,56,5.0,292.5,12.7
-1.338,-54.987,305.3,1.2,1.1,2014-12-30, 0200,T,26,5.0,294.8,6.8
-1.339,-54.997,305.5,1.2,1.1,2014-12-30, 0200,T,32,5.0,294.5,7.1
-0.805,-52.259,305.4,1,1,2014-12-30, 0200,T,29,5.0,288.2,7.2
-0.754,-52.483,308.4,1,1,2014-12-30, 0200,T,60,5.0,287.5,12.5
-0.017,-51.188,305.1,1.1,1,2014-12-30, 0200,T,16,5.0,294.5,6.5
-0.019,-51.198,318.4,1.1,1,2014-12-30, 0200,T,96,5.0,294.7,21.5
1.198,-50.536,318.7,1.2,1.1,2014-12-30, 0200,T,96,5.0,294.6,27.1
1.208,-50.537,334.8,1.2,1.1,2014-12-30, 0200,T,100,5.0,295.9,56.7
1.687,-50.471,311.7,1.2,1.1,2014-12-30, 0200,T,76,5.0,292.2,18.7
-19.342,-46.406,313.8,1.1,1.1,2014-12-30, 0155,T,83,5.0,281.7,24.9
-14.281,-51.672,308.9,1.1,1,2014-12-30, 0155,T,36,5.0,288.2,11.2
-14.282,-51.682,327.3,1.1,1,2014-12-30, 0155,T,100,5.0,288.7,35.3
-14.276,-51.679,338.5,1.1,1,2014-12-30, 0155,T,100,5.0,290,54.3
-14.277,-51.689,323.7,1.1,1,2014-12-30, 0155,T,100,5.0,288.4,28.8
-14.266,-51.68,309.3,1.1,1,2014-12-30, 0155,T,65,5.0,288.5,11.8
-14.268,-51.69,306.9,1.1,1,2014-12-30, 0155,T,50,5.0,288.2,9.7
-14.228,-51.676,318.9,1.1,1,2014-12-30, 0155,T,97,5.0,288.8,23.1
-14.229,-51.686,313.1,1.1,1,2014-12-30, 0155,T,81,5.0,288.8,15.9
-12.992,-49.355,320.2,1,1,2014-12-30, 0155,T,100,5.0,295.7,21.8
-12.993,-49.364,310.7,1,1,2014-12-30, 0155,T,72,5.0,295.5,11.3
-12.63,-52.466,306.3,1.1,1.1,2014-12-30, 0155,T,44,5.0,291.8,10.6
-11.362,-49.411,312.6,1,1,2014-12-30, 0155,T,79,5.0,295,14.8
-11.936,-54.456,307.4,1.5,1.2,2014-12-30, 0155,T,54,5.0,289.6,18.5
-10.988,-49.368,336.7,1,1,2014-12-30, 0155,T,100,5.0,296,49.5
-10.989,-49.377,315.6,1,1,2014-12-30, 0155,T,89,5.0,295.1,18.6
-11.041,-52.826,306.3,1.1,1.1,2014-12-30, 0155,T,43,5.0,290.2,11
-11.309,-56.831,325.9,2.1,1.4,2014-12-30, 0155,T,100,5.0,289.3,94.5
-9.756,-49.814,308.7,1,1,2014-12-30, 0155,T,62,5.0,293.7,11.2
-9.757,-49.824,309.9,1,1,2014-12-30, 0155,T,69,5.0,293.4,12.4
-8.697,-51.351,325.2,1,1,2014-12-30, 0155,T,100,5.0,292.4,29.5
-8.699,-51.346,306.3,1,1,2014-12-30, 0500,A,44,5.0,291.7,10.2
-10.985,-49.365,325.2,1.4,1.2,2014-12-30, 0500,A,100,5.0,293.2,47.8
-11.307,-56.835,318,1.4,1.2,2014-12-30, 0500,A,95,5.0,283.4,36.5
-11.309,-56.823,317,1.4,1.2,2014-12-30, 0500,A,92,5.0,286.5,34.3
-11.932,-54.454,317.4,1,1,2014-12-30, 0500,A,93,5.0,292.7,21.9
-14.221,-51.675,310.5,1.1,1.1,2014-12-30, 0500,A,71,5.0,293.8,12.5
-14.231,-51.676,313.4,1.1,1.1,2014-12-30, 0500,A,82,5.0,294.1,15.9
-14.268,-51.682,324.1,1.1,1.1,2014-12-30, 0500,A,100,5.0,293.4,30.8
-14.27,-51.672,324,1.1,1.1,2014-12-30, 0500,A,100,5.0,293.8,30.5
-14.278,-51.683,307.8,1.1,1.1,2014-12-30, 0500,A,57,5.0,292.3,10.5
-14.279,-51.673,315.1,1.1,1.1,2014-12-30, 0500,A,87,5.0,292.9,18.9
1.687,-50.472,305.9,1,1,2014-12-30, 0455,A,39,5.0,291.8,9.7
1.217,-50.533,308.2,1,1,2014-12-30, 0455,A,59,5.0,292.7,11.2
1.208,-50.535,341.4,1,1,2014-12-30, 0455,A,100,5.0,297.7,55.3
1.207,-50.526,315.4,1,1,2014-12-30, 0455,A,88,5.0,293.1,17.8
1.199,-50.536,310.9,1,1,2014-12-30, 0455,A,73,5.0,293.1,13.1
-0.013,-51.188,308.6,1,1,2014-12-30, 0455,A,62,5.0,293.9,9.9
-1.63,-52.653,310.5,1.1,1,2014-12-30, 0455,A,71,5.0,293.3,13.2
-1.334,-54.988,307.5,1.5,1.2,2014-12-30, 0455,A,54,5.0,290.8,16.3
-4.268,-43.743,307.6,2.9,1.6,2014-12-30, 0455,A,55,5.0,290.4,52.4
-4.272,-43.718,305.6,2.9,1.6,2014-12-30, 0455,A,34,5.0,290.6,43.7
-4.283,-43.746,313.8,2.9,1.6,2014-12-30, 0455,A,83,5.0,290.3,76.3
-4.287,-43.719,323.1,2.9,1.6,2014-12-30, 0455,A,100,5.0,291.2,126.8
-4.289,-43.725,316.3,2.9,1.6,2014-12-30, 0455,A,91,5.0,291.1,88.2
-3.158,-52.586,314.7,1,1,2014-12-30, 0455,A,86,5.0,289.7,19.6
-3.638,-41.597,317.6,2.6,1.5,2014-12-30, 1245,T,43,5.0,296.8,32.8
-4.497,-41.958,327.9,2.6,1.6,2014-12-30, 1245,T,81,5.0,298.1,87.3
-5.762,-35.543,322.7,1,1,2014-12-30, 1245,T,66,5.0,295.3,12.5
-6.867,-35.229,318.1,1,1,2014-12-30, 1245,T,38,5.0,295.6,9.4
-7.27,-38.089,328.9,1.2,1.1,2014-12-30, 1245,T,79,5.0,305.6,21.5
-7.627,-37.571,327.7,1.1,1.1,2014-12-30, 1245,T,69,5.0,303.9,16.6
-7.687,-37.908,327.1,1.2,1.1,2014-12-30, 1245,T,44,5.0,304.4,16
-7.929,-37.246,326.1,1.1,1,2014-12-30, 1245,T,74,5.0,305.6,13.3
-10.789,-45.287,318.8,3.7,1.8,2014-12-30, 1245,T,29,5.0,297.4,83
-11.47,-43.324,316.2,2.5,1.5,2014-12-30, 1245,T,65,5.0,300.2,35.9
-11.289,-45.241,319,3.6,1.8,2014-12-30, 1245,T,36,5.0,298.9,76
-11.344,-45.024,315,3.4,1.7,2014-12-30, 1245,T,59,5.0,296.5,53.8
-12.259,-43.912,320.7,2.7,1.6,2014-12-30, 1245,T,28,5.0,303.1,58.9
-12.287,-43.917,320.6,2.7,1.6,2014-12-30, 1245,T,39,5.0,303,59
-12.826,-44.427,313.6,2.9,1.6,2014-12-30, 1245,T,57,5.0,296.3,37.7
-13.565,-45.578,316.5,3.4,1.7,2014-12-30, 1245,T,61,5.0,298.1,67.4
-15.762,-41.342,320.9,1.5,1.2,2014-12-30, 1245,T,73,5.0,307.5,27
-16.671,-42.585,312.3,1.8,1.3,2014-12-30, 1245,T,47,5.0,295,16.8
-17.105,-42.857,318.3,1.8,1.3,2014-12-30, 1245,T,69,5.0,302.9,26.2
-17.462,-43.345,325.7,1.9,1.4,2014-12-30, 1245,T,79,5.0,310.1,47.4
-17.466,-43.352,328.1,1.9,1.4,2014-12-30, 1245,T,81,5.0,311.2,55.7
-20.146,-50.604,325.5,1,1,2014-12-30, 1710,A,76,5.0,306.2,12.4
-19.804,-50.847,325.2,1,1,2014-12-30, 1710,A,78,5.0,306.7,13.5
-19.035,-50.385,331.5,1.1,1,2014-12-30, 1710,A,82,5.0,310.4,19.4
-18.668,-49.617,332,1.1,1.1,2014-12-30, 1715,A,70,5.0,309.4,27.9
-18.658,-49.619,325.7,1.1,1.1,2014-12-30, 1715,A,29,5.0,305.3,16
-17.647,-50.161,327.5,1.1,1.1,2014-12-30, 1715,A,81,5.0,307.4,19.9
-17.467,-54.916,320.6,1.2,1.1,2014-12-30, 1715,A,64,5.0,303.7,16.7
-17.242,-53.985,321.7,1.1,1,2014-12-30, 1715,A,74,5.0,305.2,14.1
-17.077,-53.981,343.8,1.1,1,2014-12-30, 1715,A,92,5.0,303.2,48.4
-16.525,-58.121,316.1,1.8,1.3,2014-12-30, 1715,A,63,5.0,295.4,23.3
-16.133,-58.3,315.7,1.9,1.3,2014-12-30, 1715,A,58,5.0,295.7,20.4
-15.397,-53.186,323.2,1,1,2014-12-30, 1715,A,66,5.0,300.9,12.7
-15.682,-58.482,317.8,1.9,1.3,2014-12-30, 1715,A,68,5.0,300,24.5
-15.194,-56.562,321,1.4,1.2,2014-12-30, 1715,A,15,5.0,302.6,14
-15.247,-57.185,324.4,1.5,1.2,2014-12-30, 1715,A,49,5.0,305.4,25.3
-14.678,-55.94,320.4,1.2,1.1,2014-12-30, 1715,A,53,5.0,299.2,21.5
-14.38,-57.369,319.6,1.5,1.2,2014-12-30, 1715,A,64,5.0,298.9,18.3
-14.374,-57.333,319.1,1.5,1.2,2014-12-30, 1715,A,52,5.0,299.8,17.7
-14.065,-56.161,319.3,1.3,1.1,2014-12-30, 1715,A,69,5.0,303.8,21.8
-13.587,-53.589,325.1,1,1,2014-12-30, 1715,A,70,5.0,310.1,19.3
-13.588,-53.598,324.9,1,1,2014-12-30, 1715,A,64,5.0,309.9,19
-14.027,-56.948,317,1.4,1.2,2014-12-30, 1715,A,67,5.0,302.5,18.3
-12.26,-45.435,323.6,2.9,1.6,2014-12-30, 1715,A,77,5.0,299.2,75.5
-14.032,-57.325,316.3,1.5,1.2,2014-12-30, 1715,A,60,5.0,301.2,20.7
-13.603,-54.346,321.1,1,1,2014-12-30, 1715,A,58,5.0,305.4,17.9
-13.931,-56.993,318.2,1.4,1.2,2014-12-30, 1715,A,69,5.0,301.3,20.5
-13.554,-54.266,333,1,1,2014-12-30, 1715,A,65,5.0,307.7,25.6
-13.945,-58.847,321.1,1.9,1.4,2014-12-30, 1715,A,22,5.0,303,38.5
-13.948,-58.865,320.2,1.9,1.4,2014-12-30, 1715,A,20,5.0,303,35.4
-13.95,-58.882,319.3,1.9,1.4,2014-12-30, 1715,A,55,5.0,303,35.1
-13.585,-56.223,322.5,1.2,1.1,2014-12-30, 1715,A,50,5.0,305.5,22.3
-13.63,-56.558,320.8,1.3,1.1,2014-12-30, 1715,A,49,5.0,301.5,16.4
-13.923,-59.113,316.5,2,1.4,2014-12-30, 1715,A,43,5.0,298.8,32.5
-13.202,-53.794,319.3,1,1,2014-12-30, 1715,A,59,5.0,304.4,12.4
-13.348,-56.44,320.4,1.3,1.1,2014-12-30, 1715,A,62,5.0,304.3,21.6
-13.276,-56.503,315.5,1.3,1.1,2014-12-30, 1715,A,33,5.0,300,13.9
-13.393,-57.594,329.8,1.5,1.2,2014-12-30, 1715,A,37,5.0,299.6,43
-13.389,-57.587,328.1,1.5,1.2,2014-12-30, 1715,A,37,5.0,295.9,33.2
-13.293,-57.269,318.2,1.4,1.2,2014-12-30, 1715,A,52,5.0,300.5,21.4
-12.831,-54.087,314.7,1,1,2014-12-30, 1715,A,22,5.0,297.6,9.7
-13.429,-58.896,313.9,1.9,1.3,2014-12-30, 1715,A,35,5.0,296.2,25.7
-13.177,-57.157,319.9,1.4,1.2,2014-12-30, 1715,A,39,5.0,304.2,24.6
-12.857,-54.808,339.9,1.1,1,2014-12-30, 1715,A,78,5.0,303.4,44.5
